Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1983-04,Price,0.14279999999999998,,,,Pounds per litre
2009-08,Price,0.23260000000000003,,,,Pounds per litre
1994-04,Price,0.1931,,,,Pounds per litre
2004-09,Protein,,,3.37,,Percentage
1997-04,Volume,,1257.0,,,Million litres
1971-03,Price,0.0443,,,,Pounds per litre
1982-03,Price,0.14300000000000002,,,,Pounds per litre
2015-09,Protein,,,3.44,,Percentage
2008-07,Price,0.2582,,,,Pounds per litre
1993-03,Price,0.2021,,,,Pounds per litre
1970-02,Price,0.0409,,,,Pounds per litre
2003-08,Protein,,,3.26,,Percentage
2019-07,Price,0.2837,,,,Pounds per litre
1998-05,Volume,,1290.0,,,Million litres
1981-02,Price,0.1341,,,,Pounds per litre
2014-08,Protein,,,3.27,,Percentage
2007-06,Price,0.1808,,,,Pounds per litre
1992-02,Price,0.19519999999999998,,,,Pounds per litre
2014-10,Volume,,1157.0,,,Million litres
2018-06,Price,0.272,,,,Pounds per litre
1999-06,Volume,,1215.0,,,Million litres
1980-12,Price,0.1344,,,,Pounds per litre
2003-10,Volume,,1116.0,,,Million litres
2002-07,Protein,,,3.28,,Percentage
2013-07,Protein,,,3.19,,Percentage
1991-12,Price,0.1977,,,,Pounds per litre
1980-01,Price,0.1241,,,,Pounds per litre
1991-01,Price,0.1898,,,,Pounds per litre
2015-11,Volume,,1164.0,,,Million litres
2006-05,Price,0.16820000000000002,,,,Pounds per litre
2017-05,Price,0.2677,,,,Pounds per litre
2004-11,Volume,,1045.0,,,Million litres
2001-06,Protein,,,3.28,,Percentage
2012-06,Protein,,,3.22,,Percentage
1990-11,Price,0.1818,,,,Pounds per litre
2016-01,Volume,,1225.0,,,Million litres
2005-04,Price,0.1759,,,,Pounds per litre
2005-01,Volume,,1142.0,,,Million litres
2016-12,Volume,,1154.0,,,Million litres
2000-05,Protein,,,3.3,,Percentage
2016-04,Price,0.2164,,,,Pounds per litre
2005-12,Volume,,1098.0,,,Million litres
2004-08,Protein,,,3.26,,Percentage
1983-03,Price,0.15380000000000002,,,,Pounds per litre
2015-08,Protein,,,3.31,,Percentage
2009-07,Price,0.2299,,,,Pounds per litre
1994-03,Price,0.2061,,,,Pounds per litre
1997-05,Volume,,1317.0,,,Million litres
1971-02,Price,0.043899999999999995,,,,Pounds per litre
2003-07,Protein,,,3.26,,Percentage
1982-02,Price,0.14429999999999998,,,,Pounds per litre
2013-10,Volume,,1088.0,,,Million litres
2008-06,Price,0.25,,,,Pounds per litre
1998-06,Volume,,1173.0,,,Million litres
1993-02,Price,0.204,,,,Pounds per litre
1970-12,Price,0.0438,,,,Pounds per litre
2002-10,Volume,,1076.0,,,Million litres
2014-07,Protein,,,3.23,,Percentage
2019-06,Price,0.2799,,,,Pounds per litre
1981-12,Price,0.1446,,,,Pounds per litre
1970-01,Price,0.0408,,,,Pounds per litre
1992-12,Price,0.20989999999999998,,,,Pounds per litre
1981-01,Price,0.13449999999999998,,,,Pounds per litre
2014-11,Volume,,1120.0,,,Million litres
2002-06,Protein,,,3.28,,Percentage
2007-05,Price,0.1753,,,,Pounds per litre
1999-07,Volume,,1212.0,,,Million litres
1992-01,Price,0.1954,,,,Pounds per litre
2003-11,Volume,,1071.0,,,Million litres
2013-06,Protein,,,3.21,,Percentage
2018-05,Price,0.268,,,,Pounds per litre
2015-01,Volume,,1194.0,,,Million litres
1980-11,Price,0.134,,,,Pounds per litre
2004-01,Volume,,1127.0,,,Million litres
1991-11,Price,0.1998,,,,Pounds per litre
2015-12,Volume,,1210.0,,,Million litres
2001-05,Protein,,,3.27,,Percentage
2012-05,Protein,,,3.24,,Percentage
2006-04,Price,0.1734,,,,Pounds per litre
2004-12,Volume,,1115.0,,,Million litres
2017-04,Price,0.2693,,,,Pounds per litre
2016-02,Volume,,1148.0,,,Million litres
2005-02,Volume,,1051.0,,,Million litres
